text,sentiment,topic
"thầy giảng bài kỹ , dễ hiểu !",positive,lecturer
"nhiệt tình giảng dạy , giải đáp thắc mắc rất chi tiết , cung cấp đầy đủ kiến thức cần thiết để kiểm tra .",positive,lecturer
"thầy giảng nhanh và cách truyền đạt hơi khó hiểu , đưa ra khá ít ví dụ để sinh viên có thể hiểu bài rõ hơn .",negative,lecturer
"các giảng dạy của giảng viên còn khó hiểu , rối rắm .",negative,lecturer
điện thoại không liên lạc được .,negative,other
nội dung thực hành nên thay đổi doubledot mỗi tuần thực hành các phần lý thuyết trên lớp và giảng viên hướng dẫn làm đồ án cuối kỳ .,negative,program
giảng viên tăng cường giải đề của các năm .,positive,lecturer
thiếu thiết bị thật để thực hành .,negative,facility
nhiệt tình giúp đỡ sinh viên .,positive,lecturer
giảng bài rất dễ hiểu .,positive,lecturer
thực sự em vẫn chưa hiểu ngoài việc để làm bài tập thì wireshark được dùng để làm việc gì khác .,negative,program
"em nghĩ cơ sở vật chất vẫn còn yếu kém , ngồi xa không thể nhìn rõ được slide bài giảng của cô giáo , phòng học rất nóng .",negative,facility
thầy giải nhiều bài tập cho sinh viên giúp sinh viên củng cố kiến thức sau khi học lý thuyết .,positive,lecturer
"cô rất vui vẻ , nhiệt tình , tâm huyết .",positive,lecturer
"cần có các thiết bị di động thật để sinh viên thực hành khi cần thiết , vì các chương trình mô phỏng trên máy tính là không đầy đủ .",negative,facility
"thầy dạy dễ hiểu , code mẫu đầy đủ .",positive,lecturer
điều em hài lòng nhất đó là thầy với tốc độ phù hợp và rất dễ hiễu .,positive,lecturer
nên thống nhất lại nội dung môn học so với cách thi của phòng đào tạo .,negative,program
"thầy dạy hay , nhiệt tình , không bao chê bai sinh viên dù mặc dù không tốt mà hướng sinh viên đến suy nghĩ tích cực hơn , cố gắng hơn .",positive,lecturer
"giảng dạy nhiệt tình , quan tâm tới sinh viên .",positive,lecturer
"cần tăng chú ý về kỹ năng cần thiết trong toeic như nghe , đọc .",negative,program
"kính mong giảng viên có thể cho thêm nhiều bài tập nhằm giúp sinh viên luyện tập , nắm bắt nội dung môn học và vận dụng nó hiệu quả hơn , giúp ích cho việc học các môn sau này .",negative,program
cần chú trọng hơn vấn đề học thực hành phòng máy không đáp ứng yêu cầu doubledot không có trình biên dịch giáo viên thực hành không sử dụng hiệu quả giờ thực hành .,negative,facility
"thầy wzjwz239 nói chuyện cọc lốc , không hiểu vấn đề gì hỏi thầy thì thầy lại như quát vào mặt , tạt nước lạnh , … nói chuyện xưng hô mày - tao ( có lúc thì xưng tớ - cậu nhưng lời nói đầy ẩn ý ) , hay nói móc và tìm cách bắt bẻ sinh viên .",negative,lecturer
"thầy có hướng dẫn đồ án rất tận tình , luôn giải đáp các câu hỏi và thắc mắc của sinh viên về đồ án rất nhanh .",positive,lecturer
giúp sinh viên cảm thấy thoải mái trong giờ học .,positive,other
cô giảng dạy tận tình .,positive,lecturer
hơi khó tính ạ .,negative,lecturer
"kiến thức nhiều , khó tiếp thu , phân loại chưa rõ .",negative,program
thầy nên cho thêm bài tập về nhà .,negative,lecturer
"những điều này nghe tưởng chừng không liên quan đến môn học , nhưng lại giúp cho sinh viên phần nào có định hướng được công việc tương lai của mình .",positive,program
"em học ở phòng mà bên cạnh là công trình đang thi công , khá là ồn ào , vì thế khi học đến phần nghe , em không thể nghe được gì , và bài nghe bị gián đoạn .",negative,facility
"thầy không sửa bài tập , trên lớp thầy chỉ giảng lý thuyết theo em như thế là ít có hiệu quả .",negative,lecturer
thầy ít quan tâm .,negative,lecturer
"giảng dạy tích cực , dễ hiểu .",positive,lecturer
"không dùng điểm để đánh giá , nó làm sinh viên không dám thực hiện .",negative,program
"dạy hay , dễ hiểu , tận tình .",positive,lecturer
không khí lớp học thì không được sôi nổi .,negative,lecturer
"bài tập thực hành mỗi tuần hơi khó , mong rằng ở mỗi bài tập giảng viên có thể cung cấp bài giải kỹ càng để sinh viên có thể nghiên cứu và hiểu được cách làm .",negative,program
thầy rất thoáng và thoải mái .,positive,lecturer
thầy cần có tương tác với sinh viên qua mail hay moodle vì có đôi lúc có thắc mắc nhưng thầy không phản hồi .,negative,lecturer
"phần lý thuyết lặp lại nên chán , không thu hút .",negative,program
thầy dạy rất hay và rất nhiệt tình .,positive,lecturer
thầy rất dễ gần .,positive,lecturer
khi sinh viên hỏi phải có câu trả lời chính xác không được bỏ qua những câu hỏi của sinh viên .,negative,lecturer
"chấm điểm dựa trên mức độ thấu hiểu bài , hay đưa ra lời khuyên hữu ích .",positive,program
luôn nhiệt tình trong giảng dạy .,positive,lecturer
thầy vui vẻ .,positive,lecturer
"giảng bài kỹ càng , dễ hiểu .",positive,lecturer
cần tăng thời gian thực hành nói lên .,negative,program
cô giảng dạy rất nhiệt tình và dễ hiểu .,positive,lecturer
giảng dạy tốt .,positive,lecturer
"nhiệt tình , cô dễ thương =) .",positive,lecturer
"giảng viên dạy truyền cảm hứng , sử dụng thời gian hợp lý .",positive,lecturer
giảng viên dạy tận tâm nhiệt tình .,positive,lecturer
thì có thể lướt nhanh hơn vì phần này khá dễ .,negative,other
"giảng viên có chuyên môn rất tốt , kiến thức rộng , giải đáp được mọi thắc mắc của sinh viên .",positive,lecturer
"giảng viên hiền lành , nhiệt tình giúp đỡ khá nhiều cho sinh viên khi sinh viên không hiểu bài .",positive,lecturer
giảng viên rất tận tình !,positive,lecturer
"thầy rất nhiệt tình , năng nổ .",positive,lecturer
"truyền đạt có cảm hứng , hướng dẫn sinh viên học tập thế nào sau khi ra trường để xin việc .",positive,lecturer
"học thoải mái , ít áp lực .",positive,lecturer
cô dễ thương và giảng bài tận tình .,positive,lecturer
"cô dạy rất tốt , nhiều bài tập .",positive,lecturer
"thầy giảng dạy nhiệt tình dễ hiểu , sửa bài tập cẩn thận .",positive,lecturer
thầy là giảng viên dạy toán hay nhất trường .,positive,lecturer
"môn học này thật sự rất khó và chương trình học hơi nặng , lúc trước môn này dược chia ra làm 2 môn là cấu trúc dữ liệu 1 và cấu trúc dữ liệu 2 , năm nay lại gộp thành một nên sinh viên khó tải nổi kiến thức .",negative,program
cần kết nối được mạng trong phòng lab .,negative,facility
"nhiệt tình , phương pháp giảng dạy rất hiệu quả cách truyền đạt rất dễ hiểu và dễ tiếp thu biết cách truyền cảm hứng và tạo động lực học tập cho sinh viên .",positive,lecturer
luyện nghe nhiều hơn .,negative,program
"giảng viên giảng dạy rất truyền cảm , tạo cảm giác ham học và hệ thống bài tập dồi dào phong phú .",positive,lecturer
thầy có cách giảng bài rất hay và dễ hiểu .,positive,lecturer
thầy dạy bằng slide bài giảng hơi nhanh .,negative,lecturer
"cách dạy của cô hay , thú vị , tạo động lực .",positive,lecturer
"thầy dạy vui vẻ , không có áp lực quá khắt khe .",positive,lecturer
giải thích cặn kẽ đi sâu hơn nữa .,negative,lecturer
cho bài tập nhiều em rất thích colonsmile .,positive,lecturer
giảng viên vui vẻ nhiệt tình .,positive,lecturer
"giảng viên nhiệt tình , phương pháp giảng dạy dễ hiểu .",positive,lecturer
"giảng viên rất tâm huyết và nhiệt tình , giảng bài dễ hiểu .",positive,lecturer
thầy wzjwz127 dạy rất nhiệt tình .,positive,lecturer
"cô nhiệt tình và đưa ra bài giảng hợp lý , dễ hiểu , có thể vận dụng làm bài .",positive,lecturer
"giảng viên dạy nhiệt tình , truyền đạt kiến dễ hiểu .",positive,lecturer
"thời gian học tập luôn thiếu sót , giảng viên chưa nhiệt tình giảng dạy .",negative,lecturer
rất thích được học cô .,positive,lecturer
"tiếp cận với sinh viên một cách thân thiện , phương pháp dạy khoa học , dễ tiếp thu , dễ hiểu .",positive,lecturer
chữ viết nhỏ .,negative,lecturer
thường xuyên cho nghỉ mà không thông báo .,negative,lecturer
dạy hơi cao so với năng lực .,negative,lecturer
"giáo viên nhiệt tình , tận tâm giúp đỡ sinh viên .",positive,lecturer
thích thầy chia sẻ kinh nghiệm .,positive,lecturer
"quá khó tính , giờ cao su , giảng dạy lan man không hiệu quả .",negative,lecturer
"giảng viên giảng không hay , đã vậy còn không nhiệt tình , không vui vẻ , không tạo cơ hội cho sinh viên hỏi về bài giảng .",negative,lecturer
"thầy dạy không có sức hút , nhàm chán , gây buồn ngủ cho sinh viên .",negative,lecturer
thầy thật sự là một giảng viên dạy học rất có tâm .,positive,lecturer
"thầy dạy nhiệt tình , rất hăng hái .",positive,lecturer
"giọng cô êm êm , dễ buồn ngủ .",negative,lecturer
truyền đạt nhiều kinh nghiệm tốt cho sinh viên .,positive,lecturer
"khi phản ánh kết quả bài tập không đúng thì cô lại lơ , cười rồi bỏ đi , không có một đáp án cụ thể .",negative,lecturer
"thầy khá hài hước , nói những việc thực tế về ngành it , rất thiết thực .",positive,lecturer
"thầy wzjwz177 rất gần gũi với sinh viên , thầy phát âm tiếng anh cũng rất dễ nghe .",positive,lecturer
phòng học ồn do cạnh khu xây dựng .,negative,facility
giảng bài dễ tiếp thu nhiệt tình .,positive,lecturer
lớp đã nghỉ 4 tuần liên tiếp chưa tính một vài ngày nghỉ khác .,negative,lecturer
em mong phần thực hành được hỗ trợ nhiều hơn nữa từ phía giảng viên .,negative,lecturer
giảng bài khó hiểu .,negative,lecturer
"cô dạy rất nhiệt tình , cung cấp thông tin đầy đủ nhưng vẫn tạo điều kiện cho sinh viên tìm hiểu thêm .",positive,lecturer
thầy rất nhiệt tình với học sinh .,positive,lecturer
dễ học dễ hiểu .,positive,other
hình như em đăng ký thầy dạy mà thầy dạy mấy buổi người khác dạy mấy buổi thì phải .,negative,lecturer
"chưa giảng dạy nhiều về bài tập , cũng như hướng dẫn sinh viên hướng giải quyết nó .",negative,lecturer
"thầy rất tận tình , luôn luôn giúp đỡ , hỗ trợ sinh viên .",positive,lecturer
"thầy giảng rất hay và dễ hiểu , phong cách dạy độc đáo .",positive,lecturer
thầy wzjwz237 rất vui và nhiệt tình .,positive,lecturer
nên đưa môn wzjwz129 vào giảng dạy ngay sau môn wzjwz130 và trước khi học các môn chuyên ngành .,negative,program
chất lượng tốt giáo viên nhiệt tình .,positive,lecturer
giảng viên dạy rất nhiệt tình .,positive,lecturer
thầy dạy sát theo slide nhưng một số kiến thức bài tập lại khó hơn nhiều .,negative,lecturer
trao dồi thêm về kỹ năng speaking và listening .,negative,program
ít bài tập .,negative,program
"cô dạy có tâm huyết với học sinh , truyền đạt tốt , dễ hiểu .",positive,lecturer
"ngiêm túc , cứng rắn về vấn đề tự học .",positive,lecturer
"em mail bổ sung bài thực hành giáo viên không hồi đáp , mail xin sửa điểm giảng viên không reply đồng ý xem xét hay không đồng ý .",negative,lecturer
thời gian cô up slide lên module còn chậm .,negative,lecturer
"thầy đưa ra những demo thực tế , giúp sinh viên dễ hiểu .",positive,lecturer
thầy cho khá nhiều bài tập đa dạng .,positive,lecturer
"các phần tiếng việt trong slide được ghi một cách khó hiểu và không rõ ràng , nhiều chỗ trong slide bài giảng có vẻ như được dịch bằng google dịch từ năm 2009 .",negative,program
cô quan tâm đến sinh viên và truyền đạt kiến thức rất bổ ích .,positive,lecturer
không thực tế .,negative,other
tiết học của thầy rất vui .,positive,lecturer
"học trong phòng chất lượng cao hơn , phòng học hiện tại không có máy lạnh .",negative,facility
"giảng viên chưa truyền đạt tốt , dạy còn chán , không có sự thu hút trong cách dạy lắm .",negative,lecturer
"hướng dẫn rất tận tình , trình bày hướng dẫn rất đẹp , có phong cách , thể hiện một thái độ rất nghiêm túc trong công việc giảng dạy .",positive,lecturer
"giảng bài dễ hiểu , dễ vận dụng .",positive,lecturer
thầy vui tính dạy dễ hiểu và cung cấp nhiều thông tin hữu ích cho sinh viên .,positive,lecturer
thầy quá chuyên nghiệp .,positive,lecturer
cô giảng có hơi khó hiểu .,negative,lecturer
tạo bầu không khí thoải mái cho sinh viên .,positive,lecturer
em rất hài lòng về phương pháp giảng dạy của thầy .,positive,lecturer
"dạy nhiệt tình , theo sát môn học .",positive,lecturer
vì tính cô kỹ nên đôi lúc nói quá nhiều về một vấn đề ( lặp đi lặp lại ) làm mất thời gian trên lớp và sử dụng giờ học không hiệu quả .,negative,lecturer
mong giáo viên có thể giải đáp nhiều bài tập cho sinh viên hơn trên lớp .,negative,lecturer
đầu tư thêm nhiều công cụ dạy học .,negative,lecturer
giảng viên rất đúng giờ .,positive,lecturer
cách giảng dễ hiểu .,positive,lecturer
"thang điểm đưa ra đầu khóa học không rõ ràng , nhất quán so với thang điểm cuối khóa .",negative,program
thầy hứa sẽ up điểm giữa kỳ sớm mà điểm giữa kỳ thì tới giờ này vẫn chưa có ?,negative,lecturer
thực hành nhiều .,negative,program
"nhiệt tình với sinh viên , tư tưởng thoải mái .",positive,lecturer
"cho sinh viên chép bài để nhớ kiến thức hơn , rèn luyện nhiều bài tập , dạy nhiệt tình .",positive,lecturer
giảng viên áp dụng mô hình scrum để làm project là tốt nhưng không thành công .,negative,lecturer
hay kể các chuyện liên quan đến thực tiễn giúp bọn em tiếp thu nhanh hơn và cũng có hứng thú trong quá trình học .,positive,lecturer
đây là điều gây bức xúc với sinh viên .,negative,other
khó hiểu ạ .,negative,other
"ân cần , tận tụy .",positive,lecturer
máy chiếu chưa rõ nét cho toàn thẻ sinh viên trong phòng .,negative,facility
"cô nhiệt tình , sẵn sàng giảng lại các kiến thức mà sinh viên chưa nắm được khi học lý thuyết .",positive,lecturer
nâng cao trang thiết bị phòng học .,negative,facility
"giảng viên nhiệt tình , hết mình truyền đạt kiến thức .",positive,lecturer
cô có thể giảng phần lý thuyết kỹ hơn được không ạ .,negative,lecturer
thầy nên share lại slide cho sinh viên !,negative,lecturer
nhiều tâm huyết với nghề .,positive,lecturer
"dạy tốt , tận tình .",positive,lecturer
thầy rất nhiệt tình trong việc trả lời các câu hỏi phụ của sinh viên .,positive,lecturer
phòng thực hành cần nâng cấp và bổ sung thêm thiết bị để mọi người đều có điều kiện thực hành thực tế nhiều hơn .,negative,facility
"giảng viên nên trao đổi với sinh viên nhiều hơn , giao bài tập và giải thích những thắc mắc của sinh viên về môn học .",negative,lecturer
"cô thân thiện với học sinh , truyền cảm hứng , động lực tốt .",positive,lecturer
thầy kiểm tra quá nhiều .,negative,lecturer
thầy rất khắt khe trong việc dùng từ chuyên ngành .,positive,lecturer
thầy dạy rất tốt .,positive,lecturer
những gì được học nó nhằm mục đích gì ?,negative,lecturer
cần cung cấp thêm tài liệu học tập môn học này .,negative,program
"cách dạy của thầy rất nhàm chán , không có nhiều hoạt động thực tế , bài tập thầy cho chỉ áp sát lý thuyết mà chưa thực tế .",negative,lecturer
nên dành nhiều thời gian cho bài tập và hướng dẫn cụ thể phương pháp giải hơn .,negative,program
đôi khi học sinh nào bận muốn về trước thầy vẫn cho .,positive,lecturer
nhiều lúc lớp chỉ có hai người đi học .,negative,program
thầy wzjwz83 rất nhiệt huyết trong việc giảng dạy .,positive,lecturer
thầy vui quá đi hi hi .,positive,lecturer
"giảng viên nhiệt tình , chắt lọc nội dung cũng như mở rộng nhiều kiến thức về bộ môn .",positive,lecturer
"thầy giảng rất hay , rất tận tâm với sinh viên .",positive,lecturer
em mong có sự thống nhất giữa thầy cô trong quá trình giảng dạy môn này .,negative,lecturer
chưa ổn .,negative,other
"giảng viên tận tâm , dạy tốt .",positive,lecturer
sử dụng giờ học hiệu quả .,positive,lecturer
cách nói chưa lôi cuốn .,negative,lecturer
"thầy không đảm bảo giờ lên lớp , nếu có nghỉ thầy cũng không thông báo trước rất vô lý .",negative,lecturer
nhiệt tình truyền đạt kiến thức cho sinh viên .,positive,lecturer
lý thuyết và thực hành nên đi đôi với nhau .,negative,program
thầy dạy quá tệ .,negative,lecturer
không có nhiều bài tập để làm thêm .,negative,program
"phòng học quá sáng , màn chiếu bị mờ rất khó nhìn , xin ban quản lý lắp rèm để sinh viên và giảng viên thuận tiện trong việc học tập và giảng dạy .",negative,facility
giáo viên quá tốt .,positive,lecturer
cần cân bằng việc giảng dạy giữa sinh viên yếu và khá trở lên .,negative,program
"nhiệt tình , giảng dễ hiểu , dễ thương .",positive,lecturer
giảng viên dạy rất dễ hiểu .,positive,lecturer
tài liệu cung cấp thiếu .,negative,program
"thầy nên đánh giá kỹ hoạt động trên lớp của từng thành viên trong nhóm , ai đóng góp nhiều , nghiêm túc .",negative,lecturer
"giáo viên lên lớp muộn , nghe điện thoại trong lúc lên lớp thường xuyên , nghỉ dạy không thông báo .",negative,lecturer
đề nghị nên cho bài tập về nhà .,negative,lecturer
mong thầy giảng giải và cho bài tập từng bước nhiều hơn .,negative,lecturer
"khó hiểu , không sinh động .",negative,other
chỉ dạy nhiệt tình .,positive,lecturer
giáo viên truyền đạt những vẫn đê sâu .,positive,lecturer
"chưa cung cấp cách nhìn sâu hơn về môn học vào thực tế hiện nay , chỉ mới mang tính trừu tượng .",negative,program
"giảng viên dạy dễ hiểu , và đầy đủ nội dung .",positive,lecturer
không hướng dẫn kỹ .,negative,lecturer
"nhiệt tình , chi tiết .",positive,lecturer
"thầy cho chép bài ít thôi , tập trung sửa bài được không ạ .",negative,lecturer
khả năng truyền đạt chưa đi vào lòng người cho lắm !,negative,lecturer
"thầy rất nhiệt tình , dạy rất kỹ , thầy cũng rất vui tính .",positive,lecturer
"giảng viên nhiệt tình , vui vẻ , giờ học vui .",positive,lecturer
"cô dạy không hấp dẫn , tuy hay nhưng không kích thích được sinh viên hoạt động .",negative,lecturer
kiến thức môn học mang lại tương đối đầy đủ và thực tế giúp sinh viên nắm rõ phương pháp và cách thức để học tập các môn chuyên ngành sau này .,positive,program
"cách giảng dạy , tạo không khí sôi nổi trong lớp .",positive,lecturer
trình bày bài giảng một cách khoa học và hợp lý .,positive,lecturer
"tuy nhiên , giờ trên lớp thầy chưa thực sự sử dụng hiệu quả lắm khi thiếu tương tác với sinh viên trong lớp để nắm tình hình học viên của mình .",negative,lecturer
"thầy dễ thương , nhiệt tình , dạy dễ hiểu .",positive,lecturer
nên cho thời gian học nhiều hơn 2 tiết .,negative,program
"cô vui tính , hiền , khá nhiệt tình và gần gũi với sinh viên colonsmilesmile .",positive,lecturer
những gì quan trọng cần nắm bắt và tìm hiểu thêm .,negative,program
cá nhân em thấy đôi khi nhìn thầy em cảm thấy hơi sợ sợ .,negative,lecturer
"rèn luyện được kỹ năng giao tiếp , mạnh dạng đứng trước lớp nói tiếng anh .",positive,program
thầy hướng dẫn thực hành hay .,positive,lecturer
cập nhật kiến thức thực tế .,positive,program
"giảng viên nhiệt tình , luôn luôn đến lớp đúng giờ .",positive,lecturer
chỉ có vấn đề thầy dạy hơi nhanh .,negative,lecturer
giảng viên truyền đạt còn chưa tốt .,negative,lecturer
tình trạng nghỉ không thông báo cho sinh viên để sinh viên đứng đợi giảng viên gần hết giờ rồi ra về nhiều lần .,negative,lecturer
cô giảng dạy chi tiết trong quá trình học .,positive,lecturer
kiến thức chưa có trọng tâm .,negative,program
"tiết học vui vẻ , thoải mái .",positive,program
chưa tương tác nhiều với sinh viên .,negative,lecturer
"thân thiện , nhiệt tình .",positive,lecturer
"yêu cầu quá cao đối với một sinh viên , mặc dù chỉ là một đồ án nhưng không nhất thiết phải quá chi tiết về mọi khía cạnh cụ thể .",negative,program
cô hướng dẫn phương pháp học tập hiệu quả .,positive,lecturer
thầy cần hoạt động trao đổi nhiều hơn với sinh viên .,negative,lecturer
"thầy dạy rất dễ hiểu , đúng trọng tâm bài học .",positive,lecturer
"cho quá nhiều bài tập , chỉ nên cho bài tập ví dụ điển hình .",positive,lecturer
giúp em hiểu ra được nhiều cái hay .,positive,other
"thầy giảng rất hay , dễ hiểu .",positive,lecturer
"giảng viên giảng bài hơi nhàm chán , gây cảm giác buồn ngủ , có nhiều chỗ hơi lan man .",negative,lecturer
"giáo viên giạy theo cách quá thụ động , tạo sự nhàm chán cho sinh viên !",negative,lecturer
thầy rất tận tâm nhưng không có kỹ năng sư phạm .,negative,lecturer
nội dung hơi nhiều nên giảm bớt lại .,negative,program
"thầy chỉ dạy rất tận tình , luôn hỏi học sinh phần nào chưa hiểu và giảng lại rất kỹ , những bài giảng của thầy rất hay .",positive,lecturer
mong thầy giải bài tập trên lớp .,negative,lecturer
"do thời gian mỗi buổi học khá ngắn nên giảng viên cần tập trung vào những chủ đề quan trọng , phần còn lại nên để sinh viên tự tìm hiểu .",negative,program
giáo viên rất tận tâm nhiệt tình .,positive,lecturer
"mong rằng những môn có thực hành , giáo viên nên mở chat box và forum cho sinh viên dễ trao đổi với nhau , cũng như nhanh chóng nhận được lời giải đáp thắc mắc từ giáo viên .",negative,lecturer
cô dạy quá hay rồi .,positive,lecturer
thêm hệ thống ổ điện ngầm dưới nền nhà để tiện cho việc sinh viên có thể cắm laptop phục vụ học tập .,negative,facility
chất lượng môn học phù hợp .,positive,program
cô dạy rất nhiệt tình và rất kiên nhẫn với sinh viên .,positive,lecturer
có sai nhận sai và sửa đổi khắc phục .,negative,other
"thầy dễ tính , dạy dễ hiểu , thầy dạy hay .",positive,lecturer
"giáo viên dễ gần , tận tâm .",positive,lecturer
thầy rất vui tính dạy dễ hiểu .,positive,lecturer
môn học với kiến thức không quá nặng .,positive,program
"nội dung thực hành đã cũ , không được đổi mới và không sát với thực tế .",negative,program
các code ví dụ không được chiếu hết trên slide .,negative,program
chỉ dạy tận tâm .,positive,lecturer
"thầy dạy nhiệt tình , chia sẻ những kiến thức bổ ích .",positive,lecturer
"thầy dạy rất nhiệt tình , dễ hiểu , tận tâm .",positive,lecturer
giảng hơi ít .,negative,lecturer
em mong môn này có thể áp dụng nhiều hơn trong những đồ án .,negative,program
"giải ví dụ , bài tập nhiều hơn .",negative,lecturer
thành thật mà nói thì sau khi học buổi đầu xong thì em không muốn học thêm buổi thứ hai .,negative,program
đề nghị thầy xem lại việc chấm chéo đồ án và báo cáo chéo đồ án .,negative,lecturer
"bài dạy phụ thuộc nhiều vào slide , cách truyền đạt chưa thực sự phù hợp với cá nhân .",negative,lecturer
có slide bài giảng tiếng anh giúp nâng cao trình độ đọc hiểu tài liệu chuyên ngành và nâng cao kiến thức cho sinh viên .,positive,lecturer
học đúng giờ nhưng ra về thì sớm hơn quy định .,negative,lecturer
chuyên nghiệp .,positive,lecturer
"giảng viên thoải mái , hòa đồng .",positive,lecturer
thầy dạy rất tốt !,positive,lecturer
"cách truyền đạt kiến thức của thầy đối với em thì em cảm thấy không phù hợp lắm , em cần phải rất rất tập trung và hỏi đi hỏi lại nhiều lần mới có thể nắm bắt kiến thức .",negative,lecturer
thầy cho nghỉ hơi nhiều .,negative,lecturer
giảng viên nên cung cấp tài liệu học tập cho sinh viên !,negative,lecturer
"thầy dạy nhiêt tình , kỹ càng !",positive,lecturer
"thầy dạy hay , nhiều kiến thức mở rộng , được học trên slide tiếng anh .",positive,lecturer
thầy dạy tốt không phụ thuộc nặng vào chương trình .,positive,lecturer
"slide bao nhiêu thầy đọc lại bấy nhiêu , cực kỳ khó hiểu và buồn ngủ .",negative,lecturer
cải tiến trang thiết bị phòng thực hành .,negative,facility
giảng viên nên dạy đúng giờ hơn hạn chế cho sinh viên về sớm .,negative,lecturer
em hi vọng trong các tiết học thầy có thể đi sâu vào kiến thức chuyên môn và giảm bớt thời lượng của hoạt động liên hệ thực tế .,negative,lecturer
chân thành cảm ơn thầy .,positive,lecturer
cách chấm điểm của giảng viên không đánh giá đúng năng lực của sinh viên .,negative,lecturer
giảng quá khó hiểu .,negative,lecturer
các thiết bị âm thanh cần được đảm bảo hơn .,negative,facility
nên phát hành giáo trình chuẩn cho môn học .,negative,program
lịch thực hành không được thông báo .,negative,program
"thầy dạy rất tốt , nhiệt tình và rất dễ hiểu .",positive,lecturer
"lắp quạt phù hợp vì phòng có 2 dãy quạt 2 bên nhưng ngồi ở dãy giữa vẫn nóng , cần có màn che cửa sổ và có ổ cắm điện .",negative,facility
lên lớp toàn cho làm paper .,negative,lecturer
giảng viên làm rất tốt trong việc giảng dạy bộ môn thực hành .,positive,lecturer
"cô wzjwz253 nhiệt tình , giảng bài kỹ .",positive,lecturer
thầy wzjwz199 rất nhiệt tình trong quá trình giảng dạy .,positive,lecturer
sau kỳ thi giữa kỳ cấu trúc dữ liệu lý thuyết ( chủ yếu là thi về thuật toán sắp xếp ) thì thầy mới cho làm bài tập về các thuật toán sắp xếp .,negative,lecturer
"giảng viên nhiệt tình , gần gũi với sinh viên .",positive,lecturer
them nhiều tài liệu và video hướng dẫn .,negative,program
"giảng viên nên cho số lượng bài tập vừa phải , giải chậm và sâu ở mỗi dạng toán đặc biệt là những dạng toán khó .",negative,lecturer
cần có nhiều buổi thực hành trên thiết bị thật hoặc giảng viên nên đem thiết bị thật làm vài bày mẫu trên lớp .,negative,facility
"môn học nên tập trung vào chuyên sâu các mục , nên có biên soạn giáo trình mới , chuyên sâu hơn .",negative,program
"thầy dạy dễ hiểu , rất hay .",positive,lecturer
"thời khóa biểu phân chia không hợp lý , chưa học lý thuyết đã phải học thực hành .",negative,program
cung cấp nhiều bài tập cho sinh viên tham khảo .,positive,program
thầy cô dạy chưa sâu vào bài học .,negative,lecturer
"nói nhỏ , rất khó nghe .",negative,lecturer
thầy hầu như không giải đáp thắc mắc của sinh viên khi bài tập mắc lỗi hoặc có nhưng rất hời hợt .,negative,lecturer
chưa thực sự tận dụng tốt thời gian và chưa mở rộng vấn đề .,positive,lecturer
công bằng .,positive,lecturer
"thầy giảng rất kỹ và dễ hiểu , cho rất nhiều bài tập giúp sinh viên ứng dụng và nhớ được những gì đã học .",positive,lecturer
"cô dạy dễ hiểu , vui vẻ với sinh viên , cung cấp đầy đủ kiến thức cần thiết .",positive,lecturer
bài giảng hơi khó hiểu .,negative,program
nên muốn nhà trường tăng thêm thời gian học lý thuyết của môn này .,negative,program
"thường xuyên tổ chức thảo luận , thực hành nói .",positive,lecturer
giảng viên dạy có phần hơi nhanh .,negative,lecturer
giúp chúng em học tập tốt hơn .,positive,other
thầy dạy hay tận tình .,positive,lecturer
"thầy dạy rất hay , chi tiết .",positive,lecturer
tận tụy với sinh viên .,positive,lecturer
"thầy rất nhiệt tình và có kiến thức sâu rộng , cung cấp nhiều kiến thức hay .",positive,lecturer
"hầu như trong cả năm học , giảng viên chỉ đi dạy đúng thời khoá biểu chỉ từ 2 đến 3 ngày , còn lại giảng viên lại tự ý dời lịch học sang ngày thứ 7 mà không hỏi ý kiến của sinh viên , vì vào ngày thứ 7 có rất nhiều sinh viên có lịch học môn khác .",negative,lecturer
cần thêm nhiêu bài tập thực tế .,negative,program
không tập trung vào giảng kiến thức cho học sinh hiểu .,negative,lecturer
thật sự rất thất vọng về việc dạy thực hành của thầy !,negative,program
góp ý doubledot thầy nên có cách tiếp cận khác để cân bằng giữa vấn đề ngoại ngữ và kiến thức chuyên ngành .,negative,lecturer
"thầy dạy nhanh , hay !",positive,lecturer
nên cho nhiều bài tập hơn .,negative,lecturer
"giảng viên nhiệt tình , quan tâm đến học sinh .",positive,lecturer
"môn học có 5 lab mà chỉ học 2 lab là thi cuối kỳ , thầy nên lên lớp đủ số buổi quy định .",negative,lecturer
slide hơi khó hiểu .,negative,program
"giáo viên thực hành cần quan tâm , chỉ dẫn sinh viên tận tình hơn .",negative,lecturer
giảng viên lên lớp đầy đủ .,positive,lecturer
"giảng viên nhiệt tình , hỗ trợ sinh viên tốt .",positive,lecturer
giảng viên hay cho nghỉ học mà không báo trước .,negative,lecturer
"trang thiết bị còn hỏng hóc nhiều , thường xuyên trục trặc trong giờ học .",negative,facility
hiểu tâm lý học sinh nên mọi người trong lớp đều chú ý giảng bài .,positive,lecturer
phòng wzjwz325 thiết bị âm thanh hay xảy ra trục trặc làm gián đoạn buổi học .,negative,facility
"vui tính , thân thiện .",positive,lecturer
"nhiệt tình , năng nổ .",positive,lecturer
không có sự thoải mái khi học tập .,negative,lecturer
